nohup: ignoring input
Using Bao: True
python3 baoctl.py --train_mode retrain --dataset stats --repeat 0 --alpha 0.5 --train_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive
77 1759217584.7909818 0.08037281036376953
78 1759217584.9237041 0.13260865211486816
79 1759217584.9872918 0.06345200538635254
80 1759217585.0541294 0.06673312187194824
81 1759217585.1165514 0.06227445602416992
82 1759217585.1840107 0.06735110282897949
83 1759217585.2455378 0.06140017509460449
84 1759217585.3219843 0.07633805274963379
85 1759217585.3874524 0.0653996467590332
86 1759217585.4534242 0.06586837768554688
87 1759217585.521948 0.06842780113220215
88 1759217585.5977502 0.07572531700134277
89 1759217585.7229455 0.1251058578491211
90 1759217585.8213995 0.09834623336791992
91 1759217585.9000936 0.07857346534729004
92 1759217585.9837835 0.08355855941772461
93 1759217586.087803 0.10389423370361328
94 1759217586.1557422 0.06780791282653809
95 1759217586.2334769 0.07758808135986328
96 1759217586.3077116 0.07412576675415039
97 1759217586.3700392 0.06223177909851074
98 1759217586.441165 0.07101655006408691
99 1759217586.520973 0.07970428466796875
100 1759217586.5926845 0.07160472869873047
101 1759217586.6969693 0.10422587394714355
102 1759217586.7867064 0.0896000862121582
103 1759217586.85925 0.07243156433105469
104 1759217586.9331584 0.07384300231933594
105 1759217587.0028076 0.06956601142883301
106 1759217587.1055377 0.10266852378845215
107 1759217587.1806114 0.07499527931213379
108 1759217587.933664 0.7529487609863281
109 1759217588.0125935 0.07880711555480957
110 1759217588.094553 0.08184576034545898
111 1759217588.1674323 0.07280397415161133
112 1759217588.2478178 0.08029961585998535
113 1759217588.3186805 0.07079458236694336
114 1759217588.3837798 0.06497669219970703
115 1759217588.44573 0.061815738677978516
116 1759217588.5144176 0.06856775283813477
117 1759217588.5988345 0.08426761627197266
118 1759217588.6559877 0.05703616142272949
119 1759217588.7231698 0.06705069541931152
120 1759217588.802841 0.07955241203308105
121 1759217588.8730755 0.07012581825256348
122 1759217589.0758982 0.2027587890625
123 1759217589.1598253 0.08381509780883789
124 1759217589.22813 0.06819343566894531
125 1759217589.3035595 0.07526826858520508
126 1759217589.379605 0.07598328590393066
127 1759217589.452406 0.07269883155822754
128 1759217589.5277102 0.07523608207702637
129 1759217589.6010299 0.07321047782897949
130 1759217589.6695347 0.06832408905029297
131 1759217589.7438157 0.07416725158691406
132 1759217589.8162298 0.07229733467102051
133 1759217589.894792 0.07845306396484375
134 1759217589.9603627 0.0655050277709961
135 1759217590.034277 0.07380485534667969
136 1759217590.1103194 0.07596325874328613
137 1759217590.1826222 0.07218503952026367
138 1759217590.2535748 0.07088255882263184
139 1759217590.3214703 0.06781005859375
140 1759217591.1157343 0.794177770614624
141 1759217591.1873987 0.07154035568237305
142 1759217591.2584932 0.07099437713623047
143 1759217591.3213522 0.06277251243591309
144 1759217591.3957374 0.07430529594421387
145 1759217591.4726067 0.0767524242401123
146 1759217591.6480618 0.17537760734558105
147 1759217591.7233455 0.07521843910217285
148 1759217591.810798 0.08736968040466309
149 1759217591.8785832 0.06770706176757812
150 1759217591.9626856 0.08403658866882324
151 1759217592.0696926 0.10690188407897949
152 1759217592.1412141 0.07139921188354492
153 1759217592.2092109 0.06789326667785645
154 1759217592.260829 0.051489830017089844
155 1759217592.3382223 0.0773007869720459
156 1759217592.4115446 0.07325601577758789
157 1759217592.4842253 0.07259035110473633
158 1759217592.5540133 0.06971001625061035
159 1759217592.629715 0.07559776306152344
