Using Bao: True
python3 baoctl.py --train_mode retrain --dataset job-light-ranges --repeat 0 --alpha 0.5 --train_query_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt
21 1759417907.5349493 0.9714665412902832
22 1759417912.4966223 4.961516857147217
23 1759417913.1299953 0.6332542896270752
24 1759417917.8134913 4.6833577156066895
25 1759417919.2190838 1.4054839611053467
26 1759417920.2205071 1.001223087310791
27 1759417923.7436304 3.522991180419922
28 1759417926.0243597 2.2805769443511963
29 1759417928.35142 2.326915979385376
30 1759417933.5392427 5.187601804733276
31 1759417935.4567378 1.9173705577850342
32 1759417936.3493874 0.8925626277923584
33 1759417939.9712803 3.621757745742798
34 1759417941.1525002 1.1810970306396484
35 1759417945.0296772 3.8770487308502197
36 1759417945.8635292 0.833721399307251
37 1759417946.878277 1.0146205425262451
38 1759417947.4310725 0.5526771545410156
39 1759417948.01026 0.5790081024169922
40 1759417951.3850954 3.3747036457061768
41 1759417954.504945 3.119716167449951
42 1759417955.7175298 1.2124104499816895
43 1759417956.5470357 0.8293607234954834
44 1759417959.6005042 3.053270101547241
45 1759417960.4280171 0.8273599147796631
46 1759417961.5807862 1.152649164199829
47 1759417962.6305685 1.0496611595153809
48 1759417964.7550693 2.1243982315063477
49 1759417965.3151026 0.5598611831665039
50 1759417966.2834342 0.9681994915008545
51 1759417966.9529388 0.6693425178527832
52 1759417967.2123911 0.25931835174560547
53 1759417970.018731 2.806170701980591
54 1759417973.1362739 3.1174330711364746
55 1759417974.2889135 1.1525213718414307
56 1759417976.65891 2.36985445022583
57 1759417979.6135058 2.9544825553894043
58 1759417981.936657 2.323063373565674
