Using Bao: True
python3 baoctl.py --train_mode retrain --dataset stats --repeat 0 --alpha 0.5 --train_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/stats/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt
126 1759268848.1447885 0.06251192092895508
127 1759268848.2022424 0.05735135078430176
128 1759268848.266208 0.06387472152709961
129 1759268848.3272269 0.06090831756591797
130 1759268848.3870745 0.059744834899902344
131 1759268848.4764175 0.08917713165283203
132 1759268848.5433145 0.06677865982055664
133 1759268848.6276648 0.08425712585449219
134 1759268848.6913779 0.06362056732177734
135 1759268848.7658033 0.0743112564086914
136 1759268848.8267179 0.06079864501953125
137 1759268848.893021 0.06620955467224121
138 1759268848.9538648 0.060751914978027344
139 1759268849.0119596 0.05799245834350586
140 1759268849.7174973 0.705435037612915
141 1759268849.7931676 0.07552886009216309
142 1759268849.8608148 0.0675363540649414
143 1759268849.9272308 0.06631278991699219
144 1759268849.9955454 0.06821632385253906
145 1759268850.0682108 0.07256221771240234
146 1759268850.2114732 0.14315247535705566
147 1759268850.2730768 0.06147003173828125
148 1759268850.3554482 0.08224916458129883
149 1759268850.4137294 0.05817103385925293
150 1759268850.4818256 0.06800436973571777
151 1759268850.5917714 0.10983109474182129
152 1759268850.6526608 0.06079220771789551
153 1759268850.7138119 0.061041831970214844
154 1759268850.7584443 0.04454493522644043
155 1759268850.82607 0.06752371788024902
156 1759268850.8962343 0.07000088691711426
157 1759268850.9628296 0.06647348403930664
158 1759268851.028838 0.06590795516967773
159 1759268851.1015413 0.07259845733642578
160 1759268851.1933846 0.09173798561096191
161 1759268851.2643921 0.07090973854064941
162 1759268851.3267374 0.06221795082092285
163 1759268851.410542 0.08369922637939453
164 1759268851.4730456 0.062395334243774414
165 1759268851.5329456 0.05981159210205078
166 1759268851.5955904 0.06255507469177246
167 1759268851.6530695 0.057381629943847656
168 1759268851.7172308 0.06403374671936035
169 1759268851.7776592 0.06033897399902344
170 1759268851.841715 0.06395721435546875
171 1759268851.9031396 0.061325788497924805
172 1759268851.9733553 0.07008719444274902
173 1759268852.0318513 0.058406829833984375
174 1759268852.0933323 0.0613858699798584
175 1759268852.1552255 0.061804771423339844
176 1759268852.2174978 0.0621492862701416
177 1759268852.2843106 0.06672000885009766
178 1759268852.3452764 0.06085038185119629
179 1759268852.4133189 0.06794261932373047
180 1759268852.4864454 0.07302331924438477
181 1759268852.5651402 0.07856321334838867
182 1759268852.6359527 0.07064223289489746
183 1759268852.708661 0.07260775566101074
184 1759268852.7659552 0.057189226150512695
185 1759268852.844262 0.0781853199005127
186 1759268852.91994 0.07556962966918945
187 1759268852.9846132 0.06455636024475098
188 1759268853.1030948 0.11837148666381836
189 1759268853.176242 0.0730123519897461
190 1759268853.2402086 0.06386876106262207
191 1759268853.304186 0.06387662887573242
192 1759268853.3675385 0.06325149536132812
193 1759268853.4352868 0.06765556335449219
