Using Bao: True
python3 baoctl.py --train_mode retrain --dataset job-light-ranges --repeat 0 --alpha 0.5 --train_query_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_plans --train_label_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --save_folder workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2 --predict_query_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive --meta
76 1759594870.905031 0.5338013172149658
77 1759594871.7333648 0.8282139301300049
78 1759594874.5694847 2.835977792739868
79 1759594877.0141208 2.444505453109741
80 1759594877.6688142 0.6544723510742188
81 1759594878.202432 0.5334813594818115
82 1759594878.9618723 0.7593111991882324
83 1759594879.368845 0.4068446159362793
84 1759594879.7906537 0.4216806888580322
85 1759594880.0988047 0.3080289363861084
86 1759594880.4286273 0.3296999931335449
87 1759594881.019059 0.5902960300445557
88 1759594882.5743499 1.555114984512329
89 1759594885.329547 2.755056142807007
90 1759594886.9126146 1.582911729812622
91 1759594887.8426769 0.9299376010894775
92 1759594888.0393753 0.1965618133544922
93 1759594890.2408137 2.2012929916381836
94 1759594890.749675 0.5087153911590576
95 1759594894.9943497 4.244527101516724
96 1759594896.6718106 1.6773316860198975
97 1759594899.910651 3.238715171813965
98 1759594900.4421058 0.5313119888305664
99 1759594901.2119737 0.7696876525878906
100 1759594903.5808814 2.368751049041748
101 1759594904.356253 0.7752227783203125
102 1759594906.0229824 1.666614055633545
103 1759594909.2018678 3.178767442703247
104 1759594909.9648962 0.7629103660583496
105 1759594911.6328335 1.6677985191345215
106 1759594912.132711 0.4997522830963135
107 1759594914.1745436 2.0416922569274902
108 1759594914.662383 0.4877176284790039
109 1759594916.9364812 2.2739522457122803
110 1759594918.3722193 1.4355888366699219
111 1759594921.1435916 2.7712361812591553
112 1759594921.6252348 0.48146867752075195
113 1759594923.4340634 1.8086671829223633
114 1759594924.1834147 0.7491629123687744
115 1759594924.8975737 0.7140848636627197
116 1759594926.4932055 1.5955626964569092
117 1759594926.9232867 0.4299654960632324
118 1759594928.0626822 1.139267921447754
119 1759594928.6666327 0.6038253307342529
120 1759594929.5223122 0.8555498123168945
121 1759594930.4474795 0.9250710010528564
122 1759594931.4006536 0.9530332088470459
123 1759594933.5743089 2.1735305786132812
124 1759594935.4677362 1.8933048248291016
125 1759594937.4260356 1.9581785202026367
126 1759594937.6414247 0.21528077125549316
127 1759594938.342019 0.7004766464233398
128 1759594939.0225353 0.6803867816925049
129 1759594939.720298 0.6976408958435059
130 1759594940.1991954 0.4787485599517822
131 1759594940.6398659 0.44051527976989746
132 1759594942.706934 2.066924571990967
133 1759594942.95097 0.2438962459564209
134 1759594943.603843 0.6527493000030518
135 1759594944.1360018 0.5320632457733154
136 1759594944.7472935 0.6111528873443604
137 1759594947.7732904 3.025857448577881
138 1759594949.8842127 2.1108322143554688
139 1759594950.2819085 0.3975818157196045
140 1759594950.975136 0.6931028366088867
141 1759594951.5355935 0.5603005886077881
142 1759594954.3627136 2.826993703842163
143 1759594954.8779917 0.5151445865631104
144 1759594955.3808513 0.5027272701263428
145 1759594956.2017097 0.8207876682281494
146 1759594956.9597008 0.7578539848327637
147 1759594957.8869488 0.9271025657653809
148 1759594958.808316 0.9212381839752197
149 1759594959.6231961 0.8147006034851074
150 1759594960.9933686 1.3700335025787354
151 1759594961.7178597 0.724353551864624
152 1759594963.8098805 2.0919039249420166
153 1759594967.0178347 3.2078397274017334
154 1759594967.5755754 0.5576145648956299
155 1759594968.0668373 0.49112606048583984
156 1759594970.528526 2.4615707397460938
157 1759594970.6428757 0.11416769027709961
158 1759594974.956854 4.313847303390503
159 1759594975.0906088 0.13364171981811523
160 1759594975.7673104 0.6765565872192383
161 1759594976.4272814 0.6598544120788574
162 1759594976.9318101 0.5044009685516357
163 1759594977.6988988 0.7669713497161865
164 1759594979.655252 1.9562056064605713
165 1759594980.2927675 0.6373937129974365
166 1759594980.8798914 0.5869948863983154
167 1759594982.829638 1.9496212005615234
168 1759594983.2080488 0.3782970905303955
169 1759594984.5182567 1.310016393661499
170 1759594985.2359111 0.7175073623657227
171 1759594985.718644 0.48259544372558594
172 1759594986.196831 0.478055477142334
173 1759594987.4384866 1.241516351699829
174 1759594989.322931 1.8842973709106445
175 1759594991.8308485 2.507797956466675
176 1759594992.211202 0.3802332878112793
177 1759594992.519737 0.3084132671356201
178 1759594993.091388 0.5715267658233643
179 1759594993.7372537 0.6457278728485107
180 1759594995.332223 1.594853162765503
181 1759594996.732246 1.3999080657958984
182 1759594997.3483305 0.6159682273864746
183 1759594998.0655591 0.71710205078125
184 1759594998.608352 0.5426669120788574
185 1759594999.813816 1.2053236961364746
186 1759595000.342906 0.528942346572876
187 1759595000.9138749 0.5708131790161133
188 1759595005.0329113 4.1188788414001465
189 1759595005.469028 0.43598079681396484
190 1759595009.037679 3.5684680938720703
191 1759595009.5178893 0.48008108139038086
192 1759595011.3156843 1.797677755355835
193 1759595013.391636 2.0758161544799805
194 1759595013.6760113 0.2842402458190918
195 1759595015.1391287 1.4629127979278564
196 1759595015.8963768 0.7570667266845703
197 1759595017.8910964 1.9946160316467285
198 1759595020.5646482 2.6733648777008057
199 1759595021.6397443 1.0749647617340088
Total time: 258.00231742858887
Using Bao: True
python3 baoctl.py --train_mode retrain --dataset job-light-ranges --repeat 0 --alpha 0.5 --train_query_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_2_2/value_distribution_2_2_plans --train_label_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_2_2/value_distribution_2_2_time.txt --save_folder workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_2_2 --predict_query_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2.sql --predict_label_file workloads/job-light-ranges/varying_value_distribution_queries_200/beta_distribution_2range/value_distribution_7_2/value_distribution_7_2_time.txt --contrastive --meta
0 1759595022.4404387 0.572016716003418
1 1759595023.1085837 0.6680231094360352
2 1759595023.4388635 0.3301537036895752
3 1759595025.591759 2.1528263092041016
4 1759595026.0390794 0.447192907333374
5 1759595029.2934916 3.2542366981506348
6 1759595029.9417896 0.6481859683990479
7 1759595030.998726 1.0567996501922607
8 1759595033.831505 2.83263897895813
9 1759595034.386205 0.5545628070831299
10 1759595035.071653 0.685333251953125
11 1759595036.1752567 1.1034843921661377
12 1759595036.522063 0.3466806411743164
13 1759595038.0583754 1.536144733428955
14 1759595038.5198286 0.4613184928894043
15 1759595038.9946797 0.47472715377807617
16 1759595040.0152338 1.020416259765625
17 1759595041.800536 1.7851545810699463
18 1759595041.9587276 0.1580665111541748
19 1759595042.4899838 0.5311460494995117
20 1759595042.892792 0.402681827545166
21 1759595043.5021284 0.6092143058776855
22 1759595047.6908746 4.188584089279175
23 1759595048.1336625 0.44266438484191895
24 1759595052.01924 3.8854432106018066
25 1759595052.855395 0.8360161781311035
26 1759595053.4262652 0.5706968307495117
27 1759595055.8457499 2.419340133666992
28 1759595057.7710614 1.9251973628997803
